item_id,texto_grupo,era,data_publicacao,veiculo,tipo_veiculo,titulo,lead,paragrafo_1,fonte_ref
syn01a,g01,boa,2007-05-14,Sintetico,imprensa,"Analistas divergem sobre trajetória da inflação","Projeções para o IPCA se dividem entre convergência e estouro da meta","Economistas consultados apresentaram cenários distintos para os próximos doze meses, com parte apontando convergência gradual e parte alertando para riscos de desvio.",syn
syn01b,g01,ruim,2015-05-14,Sintetico,imprensa,"Analistas divergem sobre trajetória da inflação","Projeções para o IPCA se dividem entre convergência e estouro da meta","Economistas consultados apresentaram cenários distintos para os próximos doze meses, com parte apontando convergência gradual e parte alertando para riscos de desvio.",syn
syn02a,g02,boa,2019-03-08,Sintetico,imprensa,"Copom mantém juros e reforça compromisso com a meta","Comunicado repete que política monetária seguirá vigilante","O comitê manteve a taxa básica e afirmou que continuará atento à evolução das expectativas, sem indicar mudança de rota no curto prazo.",syn
syn02b,g02,ruim,2021-09-08,Sintetico,imprensa,"Copom mantém juros e reforça compromisso com a meta","Comunicado repete que política monetária seguirá vigilante","O comitê manteve a taxa básica e afirmou que continuará atento à evolução das expectativas, sem indicar mudança de rota no curto prazo.",syn
syn03a,g03,boa,2006-08-21,Sintetico,imprensa,"Mercado eleva projeção de inflação pelo segundo mês","Boletim mostra revisão para cima nas estimativas do IPCA","A mediana das projeções subiu pela segunda semana consecutiva, refletindo pressões recentes de preços de alimentos e combustíveis.",syn
syn03b,g03,ruim,2022-04-21,Sintetico,imprensa,"Mercado eleva projeção de inflação pelo segundo mês","Boletim mostra revisão para cima nas estimativas do IPCA","A mediana das projeções subiu pela segunda semana consecutiva, refletindo pressões recentes de preços de alimentos e combustíveis.",syn
syn04a,g04,boa,2018-06-11,Sintetico,imprensa,"Economistas cobram comunicação mais clara do Banco Central","Relatórios apontam ruído entre discurso e decisão","Casas de análise afirmaram que o último comunicado deixou dúvidas sobre os próximos passos, o que ampliou a volatilidade nos contratos de juros.",syn
syn04b,g04,ruim,2016-02-11,Sintetico,imprensa,"Economistas cobram comunicação mais clara do Banco Central","Relatórios apontam ruído entre discurso e decisão","Casas de análise afirmaram que o último comunicado deixou dúvidas sobre os próximos passos, o que ampliou a volatilidade nos contratos de juros.",syn
syn05a,g05,boa,2017-10-02,Sintetico,research,"Cenário base contempla convergência da inflação no horizonte relevante","Nota a clientes discute balanço de riscos","Em nosso cenário base, a inflação converge para o centro da meta no horizonte relevante, embora o balanço de riscos siga assimétrico.",syn
syn05b,g05,ruim,2014-10-02,Sintetico,research,"Cenário base contempla convergência da inflação no horizonte relevante","Nota a clientes discute balanço de riscos","Em nosso cenário base, a inflação converge para o centro da meta no horizonte relevante, embora o balanço de riscos siga assimétrico.",syn
